| relid  | schemaname          | relname                    | seq_scan | last_seq_scan                 | seq_tup_read | idx_scan | last_idx_scan                 | idx_tup_fetch | n_tup_ins | n_tup_upd | n_tup_del | n_tup_hot_upd | n_tup_newpage_upd | n_live_tup | n_dead_tup | n_mod_since_analyze | n_ins_since_vacuum | last_vacuum | last_autovacuum               | last_analyze | last_autoanalyze              | vacuum_count | autovacuum_count | analyze_count | autoanalyze_count |
| ------ | ------------------- | -------------------------- | -------- | ----------------------------- | ------------ | -------- | ----------------------------- | ------------- | --------- | --------- | --------- | ------------- | ----------------- | ---------- | ---------- | ------------------- | ------------------ | ----------- | ----------------------------- | ------------ | ----------------------------- | ------------ | ---------------- | ------------- | ----------------- |
| 213543 | public              | Retailer_dump_3rd_march    | 108879   | 2026-03-06 09:22:14.32913+00  | 9462277766   | 189      | 2026-03-05 14:46:29.661023+00 | 8469060       | 146694    | 0         | 0         | 0             | 0                 | 146694     | 0          | 0                   | 0                  | null        | 2026-03-05 05:29:00.243617+00 | null         | 2026-03-05 05:29:00.721239+00 | 0            | 8                | 0             | 8                 |
| 76514  | public              | submissions                | 525      | 2026-03-06 09:37:55.425945+00 | 2199177      | 182043   | 2026-03-06 09:43:27.542764+00 | 53868876      | 20176     | 0         | 0         | 0             | 0                 | 22022      | 0          | 641                 | 2049               | null        | 2026-03-05 17:30:36.515363+00 | null         | 2026-03-06 07:40:15.661433+00 | 0            | 6                | 0             | 23                |
| 213681 | public              | SD_DASHBOARD               | 391      | 2026-03-06 08:19:30.363406+00 | 1478060      | 31       | 2026-03-05 13:56:06.063841+00 | 1600          | 3856      | 0         | 0         | 0             | 0                 | 3856       | 0          | 0                   | 0                  | null        | 2026-03-05 08:05:08.431898+00 | null         | 2026-03-05 08:05:08.481891+00 | 0            | 1                | 0             | 1                 |
| 60021  | public              | app_users                  | 26211    | 2026-03-06 09:43:26.62437+00  | 19748402     | 406417   | 2026-03-06 09:43:28.023802+00 | 34196812      | 63        | 20517     | 0         | 7             | 79                | 817        | 0          | 110                 | 0                  | null        | 2026-03-06 09:43:21.477814+00 | null         | 2026-03-06 09:24:20.532213+00 | 0            | 99               | 0             | 131               |
| 102068 | public              | user_call_status           | 1690     | 2026-03-06 09:26:12.197794+00 | 87276        | 9270     | 2026-03-06 09:42:26.909735+00 | 8371          | 249       | 9306      | 7         | 0             | 42                | 274        | 62         | 21                  | 0                  | null        | 2026-03-06 09:05:19.661748+00 | null         | 2026-03-06 09:26:20.623941+00 | 0            | 98               | 0             | 123               |
| 76495  | public              | program_fields             | 2097     | 2026-03-06 09:37:01.32799+00  | 60352        | 26052    | 2026-03-06 09:43:28.103952+00 | 55929         | 127       | 0         | 119       | 0             | 0                 | 35         | 37         | 22                  | 40                 | null        | 2026-03-05 06:32:03.338068+00 | null         | 2026-03-06 06:02:11.026018+00 | 0            | 2                | 0             | 4                 |
| 213460 | public              | Partner_vans               | 24       | 2026-03-05 04:46:35.260037+00 | 400          | 96       | 2026-03-06 06:41:40.514196+00 | 2688          | 28        | 0         | 0         | 0             | 0                 | 28         | 0          | 28                  | 28                 | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102119 | public              | call_signals               | 26       | 2026-03-05 09:12:14.469344+00 | 190          | 77       | 2026-03-06 06:23:22.355855+00 | 608           | 18        | 0         | 0         | 0             | 0                 | 18         | 0          | 18                  | 18                 | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102088 | public              | call_sessions              | 34878    | 2026-03-06 09:43:15.561221+00 | 1008156      | 48       | 2026-03-05 07:28:39.176715+00 | 225           | 16        | 16        | 0         | 4             | 0                 | 16         | 7          | 32                  | 16                 | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 76476  | public              | programs                   | 59779    | 2026-03-06 09:43:28.103952+00 | 379521       | 0        | null                          | 0             | 2         | 31        | 0         | 28            | 0                 | 2          | 5          | 33                  | 2                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 60157  | public              | director_messages          | 39       | 2026-03-05 17:37:14.046178+00 | 1374         | 0        | null                          | 0             | 1         | 0         | 0         | 0             | 0                 | 1          | 0          | 1                   | 1                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17225  | realtime            | schema_migrations          | 2        | 2026-02-27 12:20:56.754573+00 | 134          | 0        | null                          | 0             | 1         | 0         | 0         | 0             | 0                 | 1          | 0          | 1                   | 1                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 158315 | public              | van_db                     | 149      | 2026-03-06 09:37:01.367568+00 | 5931         | 1231     | 2026-03-06 09:20:18.102514+00 | 48699         | 1         | 0         | 0         | 0             | 0                 | 1          | 0          | 1                   | 1                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17325  | realtime            | subscription               | 0        | null                          | 0            | 6269     | 2026-03-06 09:42:25.849632+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16757  | auth                | sessions                   | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212103 | public              | notifications              | 3        | 2026-03-03 07:15:39.564014+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 60176  | public              | social_posts               | 382      | 2026-03-06 08:34:04.898687+00 | 2292         | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17041  | auth                | oauth_authorizations       | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16525  | auth                | audit_log_entries          | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17273  | storage             | buckets_vectors            | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212268 | public              | phone_change_requests      | 3        | 2026-03-03 07:18:50.152159+00 | 0            | 1        | 2026-03-04 07:23:25.600303+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
